martial,housing,loan,duration,poutcome,y
married,yes,no,240,unknown,no
married,yes,no,238,unknown,no
married,yes,no,225,unknown,no
married,yes,no,151,unknown,no
married,yes,no,194,unknown,no
married,yes,no,273,unknown,no
divorced,yes,no,431,unknown,no
married,yes,no,57,unknown,no
single,yes,no,814,unknown,yes
married,yes,no,859,unknown,no
married,yes,no,184,unknown,no
divorced,yes,no,1363,unknown,yes
married,yes,yes,313,unknown,no
married,yes,no,142,unknown,no
single,yes,no,442,unknown,no
married,yes,no,751,unknown,yes
married,yes,yes,260,unknown,no
single,yes,no,164,unknown,no
married,yes,no,238,unknown,no
married,yes,no,53,unknown,no
married,yes,no,364,unknown,no
single,no,no,35,unknown,no
single,yes,no,106,unknown,no
single,yes,no,382,unknown,no
married,no,no,191,unknown,no
married,yes,no,483,unknown,no
married,yes,yes,253,unknown,no
married,yes,no,328,unknown,no
married,yes,yes,82,unknown,no
married,yes,no,348,unknown,no
married,yes,no,155,unknown,no
married,yes,no,1109,unknown,yes
single,yes,no,828,unknown,yes
married,yes,no,134,unknown,no
divorced,yes,no,96,unknown,no
single,yes,no,197,unknown,no
married,yes,no,645,unknown,no
married,yes,no,209,unknown,no
single,yes,yes,81,unknown,no
married,yes,yes,201,unknown,no
married,no,no,69,unknown,no
married,yes,no,42,unknown,no
single,yes,no,248,unknown,no
single,no,no,2260,unknown,no
married,no,no,54,unknown,no
single,yes,no,91,unknown,no
married,yes,no,660,unknown,no
married,yes,no,182,unknown,no
married,yes,no,30,unknown,no
married,yes,no,101,unknown,no
divorced,yes,yes,54,unknown,no
single,yes,no,374,unknown,no
single,yes,no,447,unknown,no
married,yes,no,216,unknown,no
single,yes,no,76,unknown,no
married,yes,no,62,unknown,no
single,yes,no,86,unknown,no
married,yes,no,23,unknown,no
married,yes,no,516,unknown,no
single,yes,yes,151,unknown,no
married,yes,no,52,unknown,no
married,yes,no,95,unknown,no
married,yes,no,52,unknown,no
married,yes,no,421,unknown,no
married,yes,no,52,unknown,no
married,yes,no,340,unknown,no
single,yes,no,139,unknown,no
divorced,yes,yes,288,unknown,no
married,yes,no,231,unknown,no
married,yes,no,203,unknown,no
married,yes,no,105,unknown,no
married,yes,no,67,unknown,no
married,yes,no,63,unknown,no
married,yes,no,311,unknown,no
married,yes,no,50,unknown,no
single,yes,no,86,unknown,no
married,yes,no,139,unknown,no
married,yes,no,287,unknown,no
married,yes,no,396,unknown,no
married,yes,no,235,unknown,no
married,yes,no,43,unknown,no
married,yes,yes,233,unknown,no
divorced,yes,no,177,unknown,no
married,yes,no,149,unknown,no
divorced,yes,no,422,unknown,no
married,yes,no,83,unknown,no
divorced,yes,yes,324,unknown,no
married,yes,no,287,unknown,no
married,yes,no,58,unknown,no
married,yes,no,226,unknown,no
married,yes,no,153,unknown,no
married,yes,no,151,unknown,no
married,yes,no,31,unknown,no
single,yes,no,118,unknown,no
single,yes,no,917,unknown,yes
single,yes,no,171,unknown,no
single,yes,yes,62,unknown,no
single,yes,yes,133,unknown,no
married,yes,yes,184,unknown,no
married,yes,no,91,unknown,no
divorced,no,no,498,unknown,no
married,yes,no,85,unknown,no
single,yes,no,224,unknown,no
single,no,no,242,unknown,no
single,yes,no,192,unknown,no
single,yes,no,207,unknown,no
single,yes,no,553,unknown,yes
married,yes,yes,711,unknown,no
married,no,no,147,unknown,no
divorced,yes,no,87,unknown,no
married,yes,no,199,unknown,no
single,yes,no,34,unknown,no
single,yes,no,65,unknown,no
married,no,no,150,unknown,no
married,yes,no,57,unknown,no
divorced,yes,no,234,unknown,no
single,yes,no,521,unknown,no
married,yes,no,555,unknown,no
divorced,yes,no,86,unknown,no
divorced,yes,no,204,unknown,no
divorced,yes,no,162,unknown,no
married,yes,no,648,unknown,no
married,yes,no,659,unknown,no
divorced,yes,no,867,unknown,no
single,yes,no,96,unknown,no
married,yes,no,123,unknown,no
married,yes,no,56,unknown,no
married,yes,no,54,unknown,no
married,yes,no,152,unknown,no
married,yes,no,25,unknown,no
married,no,no,139,unknown,no
single,yes,no,120,unknown,no
married,yes,no,491,unknown,no
single,yes,no,379,unknown,no
married,yes,yes,289,unknown,no
divorced,yes,no,574,unknown,no
married,yes,no,343,unknown,no
single,yes,no,98,unknown,no
divorced,yes,no,110,unknown,no
married,yes,no,319,unknown,no
married,yes,no,108,unknown,no
married,yes,no,762,unknown,yes
married,yes,no,80,unknown,no
single,yes,no,449,unknown,no
married,yes,no,306,unknown,no
married,yes,no,198,unknown,no
married,yes,no,135,unknown,no
married,yes,no,69,unknown,no
married,yes,no,55,unknown,no
married,yes,no,138,unknown,no
married,yes,yes,135,unknown,no
married,yes,no,70,unknown,no
single,yes,no,652,unknown,no
single,no,no,327,unknown,no
married,yes,no,246,unknown,no
married,no,no,295,unknown,no
married,yes,yes,255,unknown,no
married,yes,no,523,unknown,no
single,yes,no,130,unknown,no
married,no,no,103,unknown,no
married,yes,no,205,unknown,no
married,yes,no,92,unknown,no
single,yes,yes,1133,unknown,yes
single,yes,no,107,unknown,no
divorced,yes,no,65,unknown,no
married,yes,no,556,unknown,no
married,yes,no,115,unknown,no
married,no,yes,180,unknown,no
single,yes,no,87,unknown,no
single,yes,no,70,unknown,no
divorced,yes,no,132,unknown,no
married,yes,no,312,unknown,no
married,yes,no,283,unknown,no
married,yes,no,182,unknown,no
married,yes,no,127,unknown,no
divorced,yes,no,126,unknown,no
married,yes,no,91,unknown,no
married,yes,no,78,unknown,no
married,yes,no,417,unknown,no
married,yes,no,407,unknown,no
divorced,yes,no,160,unknown,no
married,no,no,171,unknown,no
married,no,no,210,unknown,no
divorced,yes,no,638,unknown,yes
married,yes,no,135,unknown,no
married,yes,no,461,unknown,no
single,yes,no,763,unknown,yes
divorced,yes,no,171,unknown,no
married,no,no,682,unknown,yes
married,yes,no,68,unknown,no
single,yes,no,120,unknown,no
married,yes,no,67,unknown,no
married,no,yes,381,unknown,no
divorced,yes,no,278,unknown,no
single,yes,no,126,unknown,no
married,yes,yes,149,unknown,no
divorced,yes,no,95,unknown,no
single,yes,no,197,unknown,no
married,yes,no,38,unknown,no
single,yes,no,61,unknown,no
married,yes,no,176,unknown,no
single,yes,yes,275,unknown,no
married,yes,no,201,unknown,no
single,yes,yes,724,unknown,no
married,yes,no,143,unknown,no
married,no,no,197,unknown,no
divorced,no,no,143,unknown,no
divorced,yes,no,197,unknown,no
married,yes,no,536,unknown,no
single,yes,no,120,unknown,no
divorced,yes,no,604,unknown,yes
divorced,yes,yes,254,unknown,no
married,yes,no,121,unknown,no
married,yes,yes,118,unknown,no
divorced,yes,no,447,unknown,no
divorced,yes,no,151,unknown,no
married,yes,no,114,unknown,no
married,yes,no,854,unknown,yes
married,yes,no,115,unknown,no
divorced,yes,no,855,unknown,yes
married,yes,no,274,unknown,no
married,yes,yes,43,unknown,no
divorced,yes,no,153,unknown,no
married,yes,no,264,unknown,no
married,yes,no,251,unknown,no
divorced,yes,no,1269,unknown,yes
divorced,yes,no,119,unknown,no
married,yes,no,104,unknown,no
married,yes,no,65,unknown,no
single,no,no,53,unknown,no
single,yes,no,63,unknown,no
married,yes,no,199,unknown,no
married,yes,no,75,unknown,no
married,yes,no,157,unknown,no
married,yes,no,565,unknown,no
married,no,no,165,unknown,no
married,yes,no,150,unknown,no
single,yes,yes,109,unknown,no
married,yes,no,60,unknown,no
divorced,yes,no,385,unknown,no
married,yes,no,868,unknown,no
married,yes,no,161,unknown,no
married,yes,no,448,unknown,no
married,no,no,137,unknown,no
single,yes,no,155,unknown,no
married,yes,no,633,unknown,no
divorced,no,no,510,unknown,no
married,yes,no,309,unknown,no
married,yes,no,58,unknown,no
married,yes,no,127,unknown,no
single,yes,no,170,unknown,no
married,yes,yes,208,unknown,no
married,yes,no,129,unknown,no
married,yes,no,134,unknown,no
married,yes,no,129,unknown,no
married,yes,no,184,unknown,no
married,yes,no,371,unknown,no
married,yes,no,145,unknown,no
married,yes,no,136,unknown,no
married,yes,yes,63,unknown,no
married,yes,no,143,unknown,no
married,yes,no,151,unknown,no
married,yes,no,56,unknown,no
married,yes,no,35,unknown,no
married,no,no,298,unknown,no
single,yes,no,158,unknown,no
single,yes,no,47,unknown,no
married,no,yes,827,unknown,no
married,yes,yes,83,unknown,no
single,yes,no,570,unknown,no
single,yes,no,557,unknown,no
married,yes,yes,59,unknown,no
married,yes,no,38,unknown,no
married,yes,no,170,unknown,no
married,yes,no,45,unknown,no
married,yes,yes,422,unknown,no
married,yes,no,230,unknown,no
married,yes,no,141,unknown,no
single,yes,yes,76,unknown,no
divorced,yes,no,691,unknown,yes
married,yes,no,141,unknown,no
married,yes,yes,251,unknown,no
married,yes,no,238,unknown,no
divorced,yes,no,1097,unknown,yes
single,yes,no,111,unknown,no
married,yes,no,84,unknown,no
single,yes,no,371,unknown,no
divorced,yes,no,254,unknown,no
single,yes,no,103,unknown,no
married,yes,no,206,unknown,no
single,yes,no,1500,unknown,yes
married,yes,no,265,unknown,no
married,no,no,567,unknown,no
married,yes,yes,254,unknown,no
married,yes,no,464,unknown,no
married,yes,no,1236,unknown,yes
married,yes,no,33,unknown,no
married,yes,no,613,unknown,no
married,yes,no,156,unknown,no
single,yes,yes,1212,unknown,no
married,yes,yes,200,unknown,no
married,yes,no,96,unknown,no
married,yes,no,171,unknown,no
married,yes,yes,244,unknown,no
married,yes,no,53,unknown,no
married,yes,yes,91,unknown,no
married,yes,no,185,unknown,no
divorced,yes,no,169,unknown,no
married,yes,yes,515,unknown,no
single,yes,no,388,unknown,no
married,no,no,192,unknown,no
married,yes,no,178,unknown,no
divorced,yes,no,422,unknown,no
divorced,yes,no,76,unknown,no
married,yes,no,886,unknown,yes
single,no,no,296,unknown,no
single,yes,no,462,unknown,no
married,yes,no,378,unknown,no
married,yes,yes,1343,unknown,yes
divorced,yes,no,288,unknown,no
married,yes,no,136,unknown,no
single,yes,no,58,unknown,no
married,yes,no,60,unknown,no
married,no,no,340,unknown,no
divorced,yes,no,668,unknown,no
married,yes,yes,159,unknown,no
single,yes,no,113,unknown,no
single,yes,no,123,unknown,no
married,yes,no,306,unknown,no
divorced,yes,no,148,unknown,no
married,yes,no,322,unknown,no
divorced,yes,no,475,unknown,no
married,yes,no,130,unknown,no
married,yes,no,183,unknown,no
divorced,yes,yes,224,unknown,no
single,yes,yes,637,unknown,no
married,yes,no,88,unknown,no
married,yes,no,509,unknown,no
married,yes,no,152,unknown,no
single,yes,no,147,unknown,no
divorced,yes,no,97,unknown,no
divorced,no,no,337,unknown,no
married,yes,no,113,unknown,no
married,yes,no,465,unknown,no
divorced,yes,no,294,unknown,no
single,yes,no,224,unknown,no
single,yes,no,812,unknown,yes
single,yes,no,58,unknown,no
married,yes,yes,137,unknown,no
married,yes,no,126,unknown,no
married,yes,no,142,unknown,no
single,yes,no,312,unknown,no
divorced,yes,no,34,unknown,no
married,no,no,825,unknown,no
married,yes,no,240,unknown,no
married,yes,no,116,unknown,no
married,yes,no,103,unknown,no
married,yes,no,31,unknown,no
single,yes,no,66,unknown,no
married,yes,no,214,unknown,no
single,yes,no,65,unknown,no
married,yes,no,80,unknown,no
divorced,yes,no,1980,unknown,yes
married,yes,no,84,unknown,no
single,yes,no,358,unknown,no
single,yes,yes,521,unknown,no
married,yes,no,200,unknown,no
married,yes,no,62,unknown,no
single,yes,no,265,unknown,no
single,yes,yes,618,unknown,no
single,yes,no,256,unknown,no
married,yes,yes,199,unknown,no
single,yes,no,722,unknown,yes
married,yes,no,888,unknown,no
married,no,no,510,unknown,no
single,yes,no,355,unknown,no
married,yes,no,150,unknown,no
divorced,yes,no,170,unknown,no
married,yes,yes,191,unknown,no
married,yes,no,572,unknown,no
married,yes,no,243,unknown,no
married,yes,no,140,unknown,no
married,yes,no,267,unknown,no
married,yes,no,219,unknown,no
married,yes,no,216,unknown,no
single,yes,yes,78,unknown,no
married,yes,no,222,unknown,no
single,yes,no,243,unknown,no
married,yes,no,212,unknown,no
divorced,yes,no,363,unknown,no
single,yes,no,67,unknown,no
single,yes,no,156,unknown,no
married,yes,no,41,unknown,no
married,no,no,108,unknown,no
married,yes,yes,408,unknown,no
married,yes,no,272,unknown,no
married,yes,no,281,unknown,no
married,yes,no,742,unknown,no
single,yes,no,166,unknown,no
married,yes,no,376,unknown,no
married,yes,no,138,unknown,no
single,yes,no,16,unknown,no
single,yes,no,984,unknown,yes
married,yes,no,363,unknown,no
married,yes,no,161,unknown,no
married,yes,no,28,unknown,no
single,yes,no,275,unknown,no
married,yes,no,170,unknown,no
single,yes,no,66,unknown,no
married,yes,no,199,unknown,no
married,yes,no,274,unknown,no
single,yes,no,136,unknown,no
single,yes,yes,62,unknown,no
divorced,yes,no,58,unknown,no
married,yes,no,189,unknown,no
single,yes,no,319,unknown,no
married,yes,no,352,unknown,no
single,yes,no,228,unknown,yes
divorced,no,no,230,unknown,no
married,yes,no,178,unknown,no
married,yes,no,42,unknown,no
married,yes,yes,124,unknown,no
married,yes,no,171,unknown,no
married,yes,no,119,unknown,no
single,no,no,66,unknown,no
married,yes,no,130,unknown,no
married,yes,no,390,unknown,no
married,yes,no,101,unknown,no
single,no,no,100,unknown,no
divorced,yes,no,78,unknown,no
married,yes,no,212,unknown,no
single,yes,no,181,unknown,no
single,yes,no,72,unknown,no
married,yes,no,390,unknown,no
married,yes,no,324,unknown,no
single,yes,yes,163,unknown,no
married,yes,no,110,unknown,no
single,yes,no,72,unknown,no
married,yes,no,85,unknown,no
married,yes,no,54,unknown,no
single,yes,no,231,unknown,no
married,yes,no,833,unknown,no
married,yes,no,124,unknown,no
married,yes,no,57,unknown,no
divorced,yes,no,115,unknown,no
married,yes,yes,43,unknown,no
single,yes,no,229,unknown,no
single,yes,no,81,unknown,no
married,yes,yes,273,unknown,no
married,yes,yes,30,unknown,no
single,yes,no,288,unknown,no
divorced,yes,no,247,unknown,no
single,yes,no,85,unknown,no
single,yes,no,76,unknown,no
single,yes,no,170,unknown,no
single,yes,no,428,unknown,no
married,yes,no,370,unknown,no
married,yes,no,137,unknown,no
single,yes,no,293,unknown,no
divorced,yes,no,281,unknown,no
married,yes,yes,46,unknown,no
married,yes,no,26,unknown,no
married,no,no,104,unknown,no
single,yes,no,164,unknown,no
divorced,yes,no,205,unknown,no
single,yes,no,891,unknown,yes
divorced,yes,no,34,unknown,no
divorced,yes,no,745,unknown,yes
married,yes,no,135,unknown,no
married,yes,no,99,unknown,no
married,yes,no,148,unknown,no
married,yes,no,84,unknown,no
single,yes,no,435,unknown,no
single,yes,no,539,unknown,yes
married,yes,no,29,unknown,no
married,yes,no,510,unknown,no
single,yes,no,59,unknown,no
single,yes,no,1044,unknown,yes
married,yes,no,122,unknown,no
divorced,yes,no,84,unknown,no
divorced,yes,no,33,unknown,no
married,yes,yes,43,unknown,no
single,yes,no,288,unknown,no
single,yes,no,385,unknown,no
married,yes,yes,306,unknown,no
married,yes,no,81,unknown,no
married,yes,yes,53,unknown,no
married,yes,yes,436,unknown,no
married,no,yes,41,unknown,no
single,yes,no,147,unknown,no
married,yes,no,232,unknown,no
married,yes,no,97,unknown,no
married,yes,no,82,unknown,no
single,yes,no,60,unknown,no
married,yes,yes,163,unknown,no
married,yes,no,141,unknown,no
married,yes,no,211,unknown,no
married,yes,yes,206,unknown,no
married,yes,no,170,unknown,no
married,yes,no,251,unknown,no
divorced,no,no,25,unknown,no
single,yes,no,120,unknown,no
married,yes,yes,123,unknown,no
married,yes,no,28,unknown,no
married,yes,no,1193,unknown,yes
single,no,no,116,unknown,no
divorced,yes,no,127,unknown,no
single,yes,no,395,unknown,no
married,no,no,137,unknown,no
married,yes,no,93,unknown,no
married,yes,no,72,unknown,no
married,yes,no,119,unknown,no
married,yes,no,100,unknown,no
married,yes,no,80,unknown,no
married,yes,no,132,unknown,no
married,yes,no,147,unknown,no
married,yes,no,140,unknown,no
single,yes,no,57,unknown,no
divorced,yes,no,130,unknown,no
married,yes,yes,251,unknown,no
single,yes,no,71,unknown,no
single,yes,no,52,unknown,no
married,yes,yes,243,unknown,no
married,no,yes,357,unknown,no
married,yes,yes,243,unknown,no
married,yes,no,108,unknown,no
married,yes,no,68,unknown,no
single,yes,no,150,unknown,no
married,yes,no,25,unknown,no
married,yes,no,90,unknown,no
married,yes,no,51,unknown,no
single,yes,no,41,unknown,no
divorced,yes,no,88,unknown,no
married,yes,no,372,unknown,no
single,yes,no,360,unknown,no
single,yes,no,63,unknown,no
divorced,yes,yes,550,unknown,no
divorced,yes,no,133,unknown,no
divorced,yes,yes,68,unknown,no
single,yes,yes,175,unknown,no
married,yes,no,202,unknown,no
single,yes,no,192,unknown,no
divorced,yes,no,484,unknown,no
single,yes,no,145,unknown,no
divorced,no,no,230,unknown,no
married,yes,no,338,unknown,no
married,yes,no,65,unknown,no
married,yes,no,205,unknown,no
married,yes,no,92,unknown,no
married,yes,no,268,unknown,no
married,yes,no,185,unknown,no
single,yes,no,65,unknown,no
married,no,no,163,unknown,no
divorced,yes,no,362,unknown,no
married,no,yes,367,unknown,no
married,yes,no,230,unknown,no
married,yes,yes,26,unknown,no
single,yes,no,63,unknown,no
married,yes,no,493,unknown,no
married,yes,no,113,unknown,no
married,yes,no,21,unknown,no
single,yes,no,215,unknown,no
single,no,no,1075,unknown,no
single,yes,yes,21,unknown,no
married,yes,no,171,unknown,no
married,yes,no,526,unknown,yes
married,yes,no,245,unknown,no
married,yes,no,107,unknown,no
married,yes,no,394,unknown,yes
married,yes,no,161,unknown,no
divorced,yes,no,517,unknown,no
single,yes,no,258,unknown,no
married,yes,yes,659,unknown,yes
married,yes,no,40,unknown,no
married,yes,no,527,unknown,no
single,yes,no,651,unknown,no
single,yes,no,129,unknown,no
single,no,no,409,unknown,no
divorced,yes,no,144,unknown,no
married,yes,no,97,unknown,no
divorced,yes,no,101,unknown,no
married,yes,no,67,unknown,no
single,yes,no,64,unknown,no
married,yes,no,143,unknown,no
married,yes,yes,70,unknown,no
married,yes,no,1036,unknown,yes
married,yes,no,384,unknown,no
married,yes,no,172,unknown,no
single,yes,no,105,unknown,no
divorced,yes,no,26,unknown,no
married,yes,no,364,unknown,no
single,yes,yes,227,unknown,no
married,yes,no,151,unknown,no
married,yes,no,464,unknown,no
married,yes,no,319,unknown,no
married,no,no,68,unknown,no
married,yes,no,464,unknown,no
married,no,no,389,unknown,no
single,yes,yes,185,unknown,no
married,yes,no,128,unknown,no
married,yes,no,88,unknown,no
single,yes,no,123,unknown,no
married,no,no,266,unknown,no
single,yes,no,466,unknown,no
single,yes,no,80,unknown,no
married,yes,no,490,unknown,no
married,yes,yes,232,unknown,no
married,yes,no,61,unknown,no
single,yes,no,537,unknown,no
married,yes,no,231,unknown,no
divorced,yes,yes,197,unknown,no
married,yes,no,464,unknown,no
married,yes,no,281,unknown,no
single,yes,no,447,unknown,no
single,yes,no,164,unknown,no
married,yes,no,184,unknown,no
married,yes,no,127,unknown,no
married,yes,no,42,unknown,no
married,yes,yes,132,unknown,no
married,yes,yes,579,unknown,no
single,yes,yes,535,unknown,no
married,no,no,180,unknown,no
single,yes,no,159,unknown,no
divorced,yes,no,66,unknown,no
married,yes,yes,239,unknown,no
single,yes,yes,95,unknown,no
single,yes,no,156,unknown,no
married,no,no,89,unknown,no
single,yes,no,74,unknown,no
single,yes,no,174,unknown,no
single,yes,no,156,unknown,no
married,yes,no,59,unknown,no
divorced,no,no,193,unknown,no
married,yes,no,815,unknown,yes
single,yes,no,215,unknown,no
married,yes,no,563,unknown,yes
single,yes,yes,273,unknown,no
single,yes,yes,258,unknown,no
single,yes,no,329,unknown,no
married,yes,no,34,unknown,no
married,yes,no,223,unknown,no
single,yes,yes,76,unknown,no
married,yes,no,920,unknown,no
married,yes,no,152,unknown,no
married,yes,no,130,unknown,no
single,yes,no,21,unknown,no
married,yes,no,118,unknown,no
married,yes,yes,369,unknown,no
married,yes,no,122,unknown,no
married,yes,no,445,unknown,no
single,yes,yes,425,unknown,no
single,yes,no,142,unknown,no
married,yes,yes,317,unknown,no
single,yes,no,184,unknown,no
single,yes,yes,354,unknown,no
married,yes,no,82,unknown,no
married,yes,no,105,unknown,no
single,yes,no,83,unknown,no
married,yes,no,209,unknown,no
married,yes,no,53,unknown,no
married,yes,yes,381,unknown,no
single,yes,no,210,unknown,no
divorced,yes,no,278,unknown,no
single,yes,no,193,unknown,no
married,yes,no,183,unknown,no
married,no,no,389,unknown,no
single,yes,no,69,unknown,no
married,yes,no,24,unknown,no
married,yes,yes,143,unknown,no
married,yes,no,68,unknown,no
single,yes,no,183,unknown,no
divorced,yes,no,49,unknown,no
single,yes,yes,148,unknown,no
married,yes,no,54,unknown,no
single,yes,no,98,unknown,no
married,yes,no,45,unknown,no
single,yes,no,121,unknown,no
married,no,no,377,unknown,no
divorced,yes,no,180,unknown,no
married,yes,yes,283,unknown,no
married,yes,yes,312,unknown,no
married,yes,no,147,unknown,no
single,yes,no,169,unknown,no
married,yes,yes,178,unknown,no
married,yes,no,154,unknown,no
married,yes,no,326,unknown,no
married,yes,no,362,unknown,no
single,yes,yes,162,unknown,no
married,yes,no,72,unknown,no
single,yes,no,121,unknown,no
single,yes,no,1068,unknown,yes
single,yes,no,599,unknown,no
married,yes,no,101,unknown,no
single,yes,no,163,unknown,no
married,yes,yes,306,unknown,no
divorced,yes,no,313,unknown,no
single,no,no,91,unknown,no
married,yes,no,94,unknown,no
married,yes,no,658,unknown,no
divorced,yes,no,250,unknown,no
married,yes,no,193,unknown,no
single,yes,no,493,unknown,no
married,yes,no,562,unknown,no
married,yes,no,490,unknown,no
married,yes,yes,140,unknown,no
married,no,no,302,unknown,no
married,yes,no,46,unknown,no
married,yes,no,149,unknown,no
married,yes,no,88,unknown,no
single,yes,no,118,unknown,no
married,yes,no,426,unknown,no
married,yes,no,230,unknown,yes
married,yes,no,277,unknown,no
single,yes,no,169,unknown,no
divorced,yes,no,123,unknown,no
married,yes,no,169,unknown,no
single,yes,no,102,unknown,no
single,yes,no,214,unknown,no
single,yes,no,572,unknown,no
married,no,no,147,unknown,no
married,yes,no,124,unknown,no
married,yes,no,105,unknown,no
married,yes,no,171,unknown,no
single,yes,no,50,unknown,no
divorced,yes,no,31,unknown,no
single,no,no,266,unknown,no
married,yes,no,163,unknown,no
married,yes,no,304,unknown,no
married,yes,no,469,unknown,no
divorced,yes,no,45,unknown,no
married,yes,no,249,unknown,no
divorced,yes,no,85,unknown,no
married,yes,no,758,unknown,no
married,yes,no,466,unknown,no
married,yes,no,200,unknown,no
married,yes,no,966,unknown,no
single,yes,no,430,unknown,no
single,yes,no,747,unknown,yes
married,yes,no,147,unknown,no
single,no,no,131,unknown,no
single,yes,yes,541,unknown,no
single,yes,yes,281,unknown,no
divorced,yes,no,339,unknown,no
single,yes,no,158,unknown,no
married,yes,no,201,unknown,no
married,yes,no,56,unknown,no
married,yes,no,231,unknown,no
married,yes,no,91,unknown,no
divorced,yes,no,146,unknown,no
divorced,yes,no,187,unknown,no
single,yes,no,269,unknown,no
married,no,no,87,unknown,no
married,yes,no,221,unknown,no
married,yes,no,347,unknown,no
married,no,yes,255,unknown,no
single,no,no,71,unknown,no
married,yes,no,184,unknown,no
single,yes,yes,276,unknown,no
married,yes,no,41,unknown,no
single,yes,no,145,unknown,no
divorced,yes,no,424,unknown,no
single,yes,no,612,unknown,no
married,no,no,282,unknown,no
divorced,yes,no,159,unknown,no
married,yes,no,671,unknown,yes
single,yes,no,76,unknown,no
married,yes,yes,117,unknown,no
married,yes,no,60,unknown,no
single,yes,no,252,unknown,no
single,yes,no,555,unknown,yes
married,yes,no,200,unknown,no
single,yes,no,350,unknown,no
married,no,no,157,unknown,no
married,yes,no,87,unknown,no
married,yes,no,312,unknown,no
married,yes,yes,222,unknown,no
married,yes,yes,218,unknown,no
married,yes,no,548,unknown,no
married,yes,no,176,unknown,no
single,yes,yes,335,unknown,no
married,yes,yes,142,unknown,no
single,yes,no,267,unknown,no
divorced,yes,no,86,unknown,no
divorced,yes,yes,129,unknown,no
married,yes,no,322,unknown,no
single,yes,no,111,unknown,no
married,yes,no,136,unknown,no
married,yes,yes,108,unknown,no
married,yes,no,71,unknown,no
married,yes,no,29,unknown,no
married,yes,no,150,unknown,no
single,yes,no,252,unknown,no
single,yes,no,518,unknown,no
married,yes,no,42,unknown,no
single,yes,no,140,unknown,no
single,yes,no,144,unknown,no
married,no,no,303,unknown,no
married,yes,no,171,unknown,no
divorced,yes,no,132,unknown,no
married,yes,no,288,unknown,no
married,yes,no,73,unknown,no
married,yes,no,230,unknown,no
married,yes,no,82,unknown,no
single,yes,yes,626,unknown,no
married,yes,no,345,unknown,no
married,yes,no,75,unknown,no
married,yes,no,214,unknown,no
single,no,no,479,unknown,no
married,yes,no,156,unknown,no
married,yes,no,80,unknown,no
single,yes,no,204,unknown,no
married,yes,no,360,unknown,no
divorced,yes,no,126,unknown,no
married,yes,no,267,unknown,no
married,yes,yes,290,unknown,no
married,yes,yes,136,unknown,no
married,yes,no,56,unknown,no
single,yes,no,32,unknown,no
married,yes,no,777,unknown,yes
married,yes,no,826,unknown,no
married,yes,no,91,unknown,no
married,yes,no,198,unknown,no
single,yes,no,164,unknown,no
single,yes,no,98,unknown,no
single,yes,yes,53,unknown,no
married,no,no,349,unknown,no
married,yes,no,178,unknown,no
married,no,no,532,unknown,no
single,yes,no,120,unknown,no
married,yes,no,164,unknown,no
divorced,yes,no,375,unknown,no
married,yes,no,20,unknown,no
married,yes,yes,392,unknown,no
single,yes,no,213,unknown,no
married,yes,no,18,unknown,no
married,no,no,393,unknown,no
divorced,yes,no,746,unknown,no
married,yes,yes,351,unknown,no
married,yes,no,142,unknown,no
married,no,no,316,unknown,no
married,yes,yes,229,unknown,no
single,yes,no,261,unknown,no
married,yes,yes,289,unknown,no
married,yes,no,74,unknown,no
single,yes,no,227,unknown,no
married,yes,no,115,unknown,no
single,yes,no,178,unknown,no
married,yes,no,154,unknown,no
married,yes,yes,100,unknown,no
married,no,no,61,unknown,no
married,yes,no,754,unknown,no
divorced,yes,no,55,unknown,no
married,yes,no,130,unknown,no
divorced,yes,no,509,unknown,no
divorced,yes,yes,181,unknown,no
divorced,yes,no,239,unknown,no
married,no,no,468,unknown,no
married,yes,no,358,unknown,no
single,yes,no,442,unknown,no
married,yes,no,1576,unknown,no
married,yes,yes,83,unknown,no
divorced,yes,no,134,unknown,no
divorced,yes,yes,28,unknown,no
married,yes,no,92,unknown,no
married,yes,no,73,unknown,no
married,yes,no,217,unknown,no
married,yes,no,134,unknown,no
married,yes,no,111,unknown,no
married,yes,no,222,unknown,no
married,yes,yes,75,unknown,no
single,yes,no,179,unknown,no
single,yes,no,110,unknown,no
married,yes,no,58,unknown,no
married,yes,no,548,unknown,no
single,yes,no,16,unknown,no
single,no,no,213,unknown,no
married,yes,no,402,unknown,no
single,yes,no,312,unknown,no
single,yes,no,280,unknown,no
single,yes,no,689,unknown,no
married,yes,no,253,unknown,no
married,yes,yes,184,unknown,no
married,yes,no,43,unknown,no
divorced,yes,no,310,unknown,no
divorced,yes,no,90,unknown,no
married,yes,no,194,unknown,no
married,yes,no,984,unknown,no
married,yes,no,85,unknown,no
single,yes,no,153,unknown,no
married,no,no,59,unknown,no
married,yes,no,20,unknown,no
married,yes,no,605,unknown,yes
married,no,no,180,unknown,no
married,yes,no,94,unknown,no
single,yes,no,232,unknown,no
single,yes,no,707,unknown,yes
divorced,yes,no,432,unknown,yes
single,yes,no,152,unknown,no
married,yes,no,104,unknown,no
married,yes,no,154,unknown,no
divorced,yes,no,70,unknown,no
divorced,yes,no,48,unknown,no
single,no,no,182,unknown,no
single,yes,yes,150,unknown,no
single,yes,no,209,unknown,no
married,yes,no,86,unknown,no
single,yes,yes,67,unknown,no
divorced,yes,no,197,unknown,no
